time;open;high;low;close;tick_volume
2024.06.18 15:45;1.07317;1.0734;1.07284;1.0729;319
2024.06.18 15:50;1.0729;1.07295;1.07247;1.0725;319
2024.06.18 15:55;1.0725;1.07325;1.07246;1.07311;260
2024.06.18 16:00;1.07312;1.07336;1.073;1.07333;265
2024.06.18 16:05;1.07335;1.07337;1.07301;1.07323;212
2024.06.18 16:10;1.07323;1.07348;1.07321;1.07335;203
2024.06.18 16:15;1.07335;1.07346;1.07304;1.07344;208
2024.06.18 16:20;1.07343;1.07353;1.07327;1.07339;204
2024.06.18 16:25;1.07338;1.0734;1.07313;1.07316;202
2024.06.18 16:30;1.07317;1.07341;1.07314;1.07327;277
2024.06.18 16:35;1.07326;1.07343;1.07315;1.07338;245
2024.06.18 16:40;1.07338;1.07404;1.07338;1.07401;255
2024.06.18 16:45;1.074;1.07463;1.07392;1.07459;273
2024.06.18 16:50;1.07458;1.07496;1.07451;1.07475;275
2024.06.18 16:55;1.07476;1.07494;1.07464;1.0748;255
2024.06.18 17:00;1.07484;1.07485;1.07432;1.07447;234
2024.06.18 17:05;1.07448;1.07448;1.07416;1.07429;233
2024.06.18 17:10;1.07431;1.0749;1.07421;1.07474;274
2024.06.18 17:15;1.07474;1.07547;1.07456;1.07543;286
2024.06.18 17:20;1.07543;1.07568;1.07538;1.07562;267
2024.06.18 17:25;1.07562;1.07614;1.0756;1.07577;249
2024.06.18 17:30;1.07577;1.07596;1.07524;1.07529;287
2024.06.18 17:35;1.07529;1.0754;1.07484;1.07494;229
2024.06.18 17:40;1.07495;1.07498;1.07451;1.07452;233
2024.06.18 17:45;1.07451;1.07458;1.07417;1.07417;238
2024.06.18 17:50;1.07417;1.0742;1.07364;1.07377;335
2024.06.18 17:55;1.07377;1.07418;1.07373;1.07383;258
2024.06.18 18:00;1.07384;1.07416;1.0737;1.07412;250
2024.06.18 18:05;1.07413;1.07413;1.07352;1.07378;237
2024.06.18 18:10;1.07378;1.07379;1.07342;1.07366;212
2024.06.18 18:15;1.07362;1.07411;1.07361;1.07407;238
2024.06.18 18:20;1.07407;1.07423;1.07388;1.07401;242
2024.06.18 18:25;1.07401;1.07402;1.07362;1.07365;192
2024.06.18 18:30;1.07365;1.07381;1.07352;1.07361;147
2024.06.18 18:35;1.07362;1.07376;1.07355;1.07357;169
